Cliente;Nota Atendimento Presencial;Nota Atendimento Telefone;Nota Estabelecimento Levados;Nota Higienica
Maria;10;Nao teve atendimento pelo tel;8;10
Gabriela;10;Nao teve atendimento pelo tel;6;10
Carla;Não teve atendimento presencial;7.5;5;10
Octavio;7;Nao teve atendimento pelo tel;7;8
João;10;Nao teve atendimento pelo tel;9;10
Fernando;8;Nao teve atendimento pelo tel;10;9
Maria;9;Nao teve atendimento pelo tel;7;10
Lidiane;Não teve atendimento presencial;9.0;;9
Pedro;10;Nao teve atendimento pelo tel;10;10
Muriel;8;Nao teve atendimento pelo tel;7;9
